iter	Passed	Remaining
0	0	65
1	1	57
2	1	53
3	1	47
4	2	48
5	3	48
6	3	48
7	4	47
8	4	47
9	5	46
10	5	45
11	6	44
12	6	43
13	7	43
14	7	42
15	8	42
16	8	41
17	8	40
18	9	40
19	9	39
20	10	40
21	11	40
22	11	39
23	12	39
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	37
30	16	37
31	17	36
32	18	36
33	18	36
34	19	36
35	20	36
36	21	36
37	21	35
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	31
46	27	30
47	28	30
48	28	29
49	29	29
50	30	29
51	30	28
52	31	28
53	32	27
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	37	25
60	38	24
61	39	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	18
70	44	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	57	5
91	58	5
92	59	4
93	60	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
